month,day,hour,elec,gas 
1,9,21,7.324,1.061
1,9,22,5.494,0.736
1,9,23,4.883,0.856
1,9,24,4.273,0.87
1,10,1,0,0.186
1,10,2,0,0.091
1,10,3,0,0.101
1,10,4,0,0.086
1,10,5,0,0.101
1,10,6,0,0.093
1,10,7,4.883,0.142
1,10,8,7.325,0.274
1,10,9,5.799,0.982
1,10,10,6.714,0.357
1,10,11,5.189,0.147
1,10,12,0,0.109
1,10,13,0,0.325
1,10,14,0,0.128
1,10,15,0,0.059
1,10,16,0,0.136
1,10,17,4.883,0.712
1,10,18,6.714,1.341
1,10,19,5.799,0.979
1,10,20,5.494,0.827
1,10,21,7.019,0.949
1,10,22,5.189,1.075
1,10,23,5.188,0.861
1,10,24,4.578,0.672
1,11,1,0,0.432
1,11,2,0,0.091
1,11,3,0,0.098
1,11,4,0,0.062
1,11,5,0,0.125
1,11,6,0,0.056
1,11,7,4.883,0.176
1,11,8,8.546,0.389
1,11,9,6.714,0.854
1,11,10,6.715,0.402
1,11,11,5.493,0.131
1,11,12,0,0.128
1,11,13,0,0.059
1,11,14,0,0.109
1,11,15,0,0.077
1,11,16,0,0.067
1,11,17,4.883,0.197
1,11,18,6.104,0.8
1,11,19,6.41,2.315
1,11,20,6.104,0.765
1,11,21,6.409,0.926
1,11,22,5.799,0.954
1,11,23,13.734,0.835
1,11,24,12.208,0.707
1,12,1,1.526,0.336
1,12,2,0,0.064
1,12,3,0,0.09
1,12,4,0,0.056
1,12,5,0,0.102
1,12,6,0,0.05
1,12,7,5.188,0.166
1,12,8,8.851,0.68
1,12,9,6.409,1.085
1,12,10,6.714,0.512
1,12,11,4.884,0.179
1,12,12,0,0.056
1,12,13,0,0.101
1,12,14,0,0.061
1,12,15,0,0.102
1,12,16,0,0.333
1,12,17,5.188,0.224
1,12,18,6.714,1.528
1,12,19,6.104,0.811
1,12,20,5.799,0.853
1,12,21,5.494,1.253
1,12,22,7.63,0.838
1,12,23,5.493,0.669
